9,0,512,643,26,347,0.48,0.28,0
10,0,503,647,20,346,0.48,0.99,0
11,0,468,639,22,340,0.97,1.0,0
12,0,440,640,24,340,0.9,1.0,0
13,0,411,638,18,337,0.83,1.0,0
14,0,389,636,18,338,0.88,1.0,0
15,0,347,640,18,335,0.96,1.0,0
16,0,333,647,19,322,0.99,1.0,0
17,0,331,646,20,340,0.99,1.0,0
18,0,325,638,21,337,0.97,1.0,0
19,0,302,628,23,336,0.95,1.0,0
20,0,269,629,16,341,0.97,1.0,0
21,0,265,636,15,344,0.93,1.0,0
22,0,278,628,20,340,0.84,1.0,0
23,0,256,647,17,347,0.77,1.0,0
24,0,257,638,19,342,0.72,0.99,0
25,0,247,638,17,345,0.8,0.99,0
26,0,246,642,12,349,0.84,0.96,0
27,0,247,641,13,350,0.93,0.99,0
28,0,279,619,15,342,0.52,0.96,0
29,0,296,621,18,346,0.36,0.91,0
30,0,287,614,21,342,0.45,0.98,0
31,0,280,620,23,340,0.67,0.99,0
31,1,613,641,129,308,0.21,0.98,0
32,0,256,623,16,343,0.76,0.99,0
33,0,253,633,18,344,0.96,1.0,0
34,0,256,619,17,344,0.96,1.0,0
35,0,259,613,20,343,0.98,0.99,0
36,0,273,600,21,338,0.99,1.0,0
37,0,276,593,22,341,0.98,1.0,0
38,0,253,569,23,338,0.99,1.0,0
39,0,250,562,27,335,0.98,1.0,0
40,0,238,555,29,335,0.99,1.0,0
41,0,240,550,27,339,0.99,1.0,0
42,0,241,545,25,338,0.99,1.0,0
43,0,246,538,24,340,0.99,1.0,0
44,0,248,533,24,339,0.98,1.0,0
45,0,249,530,24,338,0.99,1.0,0
46,0,254,525,25,338,0.99,1.0,0
47,0,252,524,24,339,0.99,1.0,0
48,0,255,517,25,338,0.99,1.0,0
49,0,254,508,26,339,0.98,1.0,0
